;// Name;; Vorname;;Geburtsjahr;;Platz;;Partei;;;;Land;;;;;;Wkr;;;
AAAA;Heydrich;BBBB;Dr. Jürgen;CCCC;1933;DDDD;3;EEEE;REP;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;REP;II11;;;2005;FINEFINE
AAAA;Heynemann;BBBB;Bernd Reinhold Gerhard;CCCC;1954;DDDD;3;EEEE;CDU;FFFF;2005;ZZZZ;ST;GGGG;2005;HHHH;CDU;IIII;69;JJJJ;2005;FINEFINE
AAAA;Hildebrandt;BBBB;Dr. Dietrich;CCCC;1944;DDDD;0;EEEE;GRÜNE;FF11;;;;;;;;IIII;278;JJJJ;2005;FINEFINE
AAAA;Hildesheim;BBBB;Wolfgang-Reiner;CCCC;1947;DDDD;12;EEEE;CDU;FFFF;2005;ZZZZ;MV;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Hilger;BBBB;Alfred;CCCC;1956;DDDD;39;EEEE;SPD;FFFF;2005;ZZZZ;NI;GGGG;2005;HHHH;SPD;II11;;;2005;FINEFINE
AAAA;Hilgers;BBBB;Bernhard;CCCC;1954;DDDD;0;EEEE;DIE LINKE;FF11;;;;;;;;IIII;204;JJJJ;2005;FINEFINE
AAAA;Hilker;BBBB;Heiko;CCCC;1966;DDDD;0;EEEE;DIE LINKE;FF11;;;;;;;;IIII;163;JJJJ;2005;FINEFINE
AAAA;Hill;BBBB;Hans-Kurt;CCCC;1950;DDDD;2;EEEE;DIE LINKE;FFFF;2005;ZZZZ;SL;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Hiller-Ohm;BBBB;Gabriele;CCCC;1953;DDDD;4;EEEE;SPD;FFFF;2005;ZZZZ;SH;GGGG;2005;HHHH;SPD;IIII;11;JJJJ;2005;FINEFINE
AAAA;Hilsberg;BBBB;Stephan;CCCC;1956;DDDD;5;EEEE;SPD;FFFF;2005;ZZZZ;BB;GGGG;2005;HHHH;SPD;IIII;65;JJJJ;2005;FINEFINE
AAAA;Hinderberger;BBBB;Christine;CCCC;1951;DDDD;31;EEEE;CDU;FFFF;2005;ZZZZ;RP;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Hindrichs;BBBB;Friedhold;CCCC;1944;DDDD;8;EEEE;PBC;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;PBC;IIII;243;JJJJ;2005;FINEFINE
AAAA;Hinke;BBBB;Roland;CCCC;1951;DDDD;0;EEEE;UNABHÄNGIGE;FF11;;;;;;;;IIII;224;JJJJ;2005;FINEFINE
AAAA;Hinschberger;BBBB;Horst;CCCC;1950;DDDD;3;EEEE;FDP;FFFF;2005;ZZZZ;SL;GGGG;2005;HHHH;FDP;II11;;;2005;FINEFINE
AAAA;Hinsken;BBBB;Ernst;CCCC;1943;DDDD;0;EEEE;CSU;FF11;;;;;;;;IIII;232;JJJJ;2005;FINEFINE
AAAA;Hintze;BBBB;Peter;CCCC;1950;DDDD;7;EEEE;CDU;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;CDU;IIII;103;JJJJ;2005;FINEFINE
AAAA;Hinz;BBBB;Martin;CCCC;1961;DDDD;0;EEEE;DIE LINKE;FF11;;;;;;;;IIII;178;JJJJ;2005;FINEFINE
AAAA;Hinz;BBBB;Petra;CCCC;1962;DDDD;43;EEEE;SPD;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;SPD;IIII;121;JJJJ;2005;FINEFINE
AAAA;Hinz;BBBB;Priska;CCCC;1959;DDDD;5;EEEE;GRÜNE;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;GRÜNE;IIII;174;JJJJ;2005;FINEFINE
AAAA;Hinz;BBBB;Wolfgang;CCCC;1948;DDDD;30;EEEE;DIE LINKE;FFFF;2005;ZZZZ;SN;GGGG;2005;HHHH;DIE LINKE;IIII;168;JJJJ;2005;FINEFINE
AAAA;Hirsch;BBBB;Cornelia;CCCC;1980;DDDD;5;EEEE;DIE LINKE;FFFF;2005;ZZZZ;TH;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Hirschfelder;BBBB;Hermann;CCCC;1951;DDDD;68;EEEE;CDU;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Hirte;BBBB;Christian;CCCC;1976;DDDD;6;EEEE;CDU;FFFF;2005;ZZZZ;TH;GGGG;2005;HHHH;CDU;IIII;191;JJJJ;2005;FINEFINE
AAAA;Hitzing;BBBB;Franka;CCCC;1966;DDDD;6;EEEE;FDP;FFFF;2005;ZZZZ;TH;GGGG;2005;HHHH;FDP;IIII;190;JJJJ;2005;FINEFINE
AAAA;Hochbaum;BBBB;Robert;CCCC;1954;DDDD;0;EEEE;CDU;FF11;;;;;;;;IIII;168;JJJJ;2005;FINEFINE
AAAA;Hocke;BBBB;Reinhold;CCCC;1944;DDDD;15;EEEE;FDP;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;FDP;IIII;172;JJJJ;2005;FINEFINE
AAAA;Hofbauer;BBBB;Klaus;CCCC;1947;DDDD;0;EEEE;CSU;FF11;;;;;;;;IIII;235;JJJJ;2005;FINEFINE
AAAA;Hofe von;BBBB;Erich;CCCC;1956;DDDD;20;EEEE;GRÜNE;FFFF;2005;ZZZZ;NI;GGGG;2005;HHHH;GRÜNE;IIII;30;JJJJ;2005;FINEFINE
AAAA;Hofer;BBBB;Christoph Martin;CCCC;1984;DDDD;14;EEEE;NPD;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;NPD;II11;;;2005;FINEFINE
AAAA;Hoff;BBBB;Elke;CCCC;1957;DDDD;3;EEEE;FDP;FFFF;2005;ZZZZ;RP;GGGG;2005;HHHH;FDP;IIII;199;JJJJ;2005;FINEFINE
AAAA;Hoffmann;BBBB;Dr. Rita;CCCC;1944;DDDD;1;EEEE;NPD;FFFF;2005;ZZZZ;TH;GGGG;2005;HHHH;NPD;II11;;;2005;FINEFINE
AAAA;Hoffmann;BBBB;Felix;CCCC;1984;DDDD;12;EEEE;BüSo;FFFF;2005;ZZZZ;SN;GGGG;2005;HHHH;BüSo;IIII;164;JJJJ;2005;FINEFINE
AAAA;Hoffmann;BBBB;Iris;CCCC;1963;DDDD;4;EEEE;SPD;FFFF;2005;ZZZZ;MV;GGGG;2005;HHHH;SPD;IIII;12;JJJJ;2005;FINEFINE
AAAA;Hoffmann;BBBB;Michael;CCCC;1976;DDDD;0;EEEE;NPD;FF11;;;;;;;;IIII;148;JJJJ;2005;FINEFINE
AAAA;Hoffmeier;BBBB;Michael;CCCC;1969;DDDD;21;EEEE;GRÜNE;FFFF;2005;ZZZZ;TH;GGGG;2005;HHHH;GRÜNE;II11;;;2005;FINEFINE
AAAA;Hofmann;BBBB;Frank;CCCC;1949;DDDD;15;EEEE;SPD;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;SPD;IIII;251;JJJJ;2005;FINEFINE
AAAA;Hofmann;BBBB;Friedrich Christoph;CCCC;1954;DDDD;7;EEEE;MLPD;FFFF;2005;ZZZZ;TH;GGGG;2005;HHHH;MLPD;IIII;191;JJJJ;2005;FINEFINE
AAAA;Hofmann;BBBB;Johanna Maria;CCCC;1953;DDDD;2;EEEE;MLPD;FFFF;2005;ZZZZ;TH;GGGG;2005;HHHH;MLPD;II11;;;2005;FINEFINE
AAAA;Hofmann;BBBB;Reiner;CCCC;1952;DDDD;16;EEEE;DIE LINKE;FFFF;2005;ZZZZ;BW;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Hofmann;BBBB;Wolfgang Heinz;CCCC;1939;DDDD;43;EEEE;CSU;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;CSU;II11;;;2005;FINEFINE
AAAA;Hofmeier;BBBB;Leo;CCCC;1973;DDDD;41;EEEE;CSU;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;CSU;II11;;;2005;FINEFINE
AAAA;Hofreiter;BBBB;Dr. Anton;CCCC;1970;DDDD;6;EEEE;GRÜNE;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;GRÜNE;IIII;223;JJJJ;2005;FINEFINE
AAAA;Hohmann;BBBB;Martin;CCCC;1948;DDDD;0;EEEE;OHNE PARTEI;FF11;;;;;;;;IIII;176;JJJJ;2005;FINEFINE
AAAA;Holbach;BBBB;Christian;CCCC;1966;DDDD;5;EEEE;FDP;FFFF;2005;ZZZZ;SL;GGGG;2005;HHHH;FDP;IIII;297;JJJJ;2005;FINEFINE
AAAA;Holl;BBBB;Matthias-Johannes;CCCC;1962;DDDD;0;EEEE;HP;FF11;;;;;;;;IIII;222;JJJJ;2005;FINEFINE
AAAA;Holldorf;BBBB;Peter;CCCC;1947;DDDD;10;EEEE;SPD;FFFF;2005;ZZZZ;HH;GGGG;2005;HHHH;SPD;II11;;;2005;FINEFINE
AAAA;Holler;BBBB;Anton;CCCC;1958;DDDD;43;EEEE;FDP;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;FDP;II11;;;2005;FINEFINE
AAAA;Hollstein;BBBB;Andreas;CCCC;1963;DDDD;10;EEEE;NPD;FFFF;2005;ZZZZ;NI;GGGG;2005;HHHH;NPD;IIII;45;JJJJ;2005;FINEFINE
AAAA;Holst von;BBBB;Margarete;CCCC;1937;DDDD;7;EEEE;PBC;FFFF;2005;ZZZZ;MV;GGGG;2005;HHHH;PBC;II11;;;2005;FINEFINE
AAAA;Holstein;BBBB;Lars;CCCC;1971;DDDD;37;EEEE;SPD;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;SPD;IIII;258;JJJJ;2005;FINEFINE
AAAA;Holstiege;BBBB;Angela Margareta;CCCC;1951;DDDD;25;EEEE;GRÜNE;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;GRÜNE;IIII;134;JJJJ;2005;FINEFINE
AAAA;Holter;BBBB;Helmut Karl Hans;CCCC;1953;DDDD;0;EEEE;DIE LINKE;FF11;;;;;;;;IIII;17;JJJJ;2005;FINEFINE
AAAA;Holthoff;BBBB;Adolf;CCCC;1934;DDDD;5;EEEE;Pro DM;FFFF;2005;ZZZZ;NI;GGGG;2005;HHHH;Pro DM;II11;;;2005;FINEFINE
AAAA;Holz;BBBB;Carola;CCCC;1957;DDDD;4;EEEE;NPD;FFFF;2005;ZZZZ;ST;GGGG;2005;HHHH;NPD;IIII;72;JJJJ;2005;FINEFINE
AAAA;Holzapfel;BBBB;Elke Rosemarie;CCCC;1945;DDDD;10;EEEE;CDU;FFFF;2005;ZZZZ;TH;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Holzenkamp;BBBB;Franz-Josef;CCCC;1960;DDDD;29;EEEE;CDU;FFFF;2005;ZZZZ;NI;GGGG;2005;HHHH;CDU;IIII;33;JJJJ;2005;FINEFINE
AAAA;Holzfuß;BBBB;Martin;CCCC;1925;DDDD;43;EEEE;FDP;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;FDP;II11;;;2005;FINEFINE
AAAA;Holzheuer-Rothensteiner;BBBB;Bärbel;CCCC;1948;DDDD;11;EEEE;DIE LINKE;FFFF;2005;ZZZZ;BE;GGGG;2005;HHHH;DIE LINKE;IIII;80;JJJJ;2005;FINEFINE
AAAA;Holzner;BBBB;Berit;CCCC;1969;DDDD;3;EEEE;DIE FRAUEN;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;DIE FRAUEN;II11;;;2005;FINEFINE
AAAA;Homburger;BBBB;Birgit;CCCC;1965;DDDD;1;EEEE;FDP;FFFF;2005;ZZZZ;BW;GGGG;2005;HHHH;FDP;IIII;288;JJJJ;2005;FINEFINE
AAAA;Homeyer;BBBB;Dierk;CCCC;1955;DDDD;5;EEEE;CDU;FFFF;2005;ZZZZ;BB;GGGG;2005;HHHH;CDU;IIII;59;JJJJ;2005;FINEFINE
AAAA;Honsel;BBBB;Gerhard;CCCC;1946;DDDD;16;EEEE;FAMILIE;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;FAMILIE;II11;;;2005;FINEFINE
AAAA;Hoppe;BBBB;Kurt;CCCC;1936;DDDD;0;EEEE;NPD;FF11;;;;;;;;IIII;198;JJJJ;2005;FINEFINE
AAAA;Hoppe;BBBB;Martin Bernhard;CCCC;1972;DDDD;10;EEEE;GRÜNE;FFFF;2005;ZZZZ;SH;GGGG;2005;HHHH;GRÜNE;II11;;;2005;FINEFINE
AAAA;Hoppe;BBBB;Thilo;CCCC;1958;DDDD;4;EEEE;GRÜNE;FFFF;2005;ZZZZ;NI;GGGG;2005;HHHH;GRÜNE;IIII;25;JJJJ;2005;FINEFINE
AAAA;Hoppenstedt;BBBB;Dr. Albrecht;CCCC;1957;DDDD;13;EEEE;FDP;FFFF;2005;ZZZZ;NI;GGGG;2005;HHHH;FDP;IIII;44;JJJJ;2005;FINEFINE
AAAA;Horb;BBBB;Margaret;CCCC;1967;DDDD;18;EEEE;CDU;FFFF;2005;ZZZZ;BW;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Horn;BBBB;Christian;CCCC;1971;DDDD;0;EEEE;NPD;FF11;;;;;;;;IIII;43;JJJJ;2005;FINEFINE
AAAA;Horn;BBBB;Michael;CCCC;1968;DDDD;14;EEEE;DIE LINKE;FFFF;2005;ZZZZ;HB;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Hornberger;BBBB;Reinhard;CCCC;1948;DDDD;10;EEEE;REP;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;REP;II11;;;2005;FINEFINE
AAAA;Hornig;BBBB;Manfred Herbert;CCCC;1967;DDDD;53;EEEE;SPD;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;SPD;II11;;;2005;FINEFINE
AAAA;Hornsteiner;BBBB;Eduard Georg;CCCC;1957;DDDD;0;EEEE;NPD;FF11;;;;;;;;IIII;227;JJJJ;2005;FINEFINE
AAAA;Hornung;BBBB;Cornelia;CCCC;1975;DDDD;31;EEEE;SPD;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;SPD;II11;;;2005;FINEFINE
AAAA;Hornung;BBBB;Dunja;CCCC;1969;DDDD;23;EEEE;DIE LINKE;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Horst;BBBB;Alfred Hermann;CCCC;1952;DDDD;0;EEEE;NPD;FF11;;;;;;;;IIII;173;JJJJ;2005;FINEFINE
AAAA;Houben;BBBB;Bettina;CCCC;1960;DDDD;34;EEEE;FDP;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;FDP;IIII;96;JJJJ;2005;FINEFINE
AAAA;Hovermann;BBBB;Eike Anna Maria;CCCC;1946;DDDD;3;EEEE;SPD;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;SPD;IIII;147;JJJJ;2005;FINEFINE
AAAA;Hoyer;BBBB;Dr. Guido;CCCC;1968;DDDD;10;EEEE;DIE LINKE;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;DIE LINKE;IIII;216;JJJJ;2005;FINEFINE
AAAA;Hoyer;BBBB;Dr. Werner;CCCC;1951;DDDD;4;EEEE;FDP;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;FDP;IIII;95;JJJJ;2005;FINEFINE
AAAA;Hubert;BBBB;Daniel;CCCC;1975;DDDD;7;EEEE;NPD;FFFF;2005;ZZZZ;NI;GGGG;2005;HHHH;NPD;IIII;53;JJJJ;2005;FINEFINE
AAAA;Hubig;BBBB;Ute;CCCC;1947;DDDD;11;EEEE;CDU;FFFF;2005;ZZZZ;SL;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Huffschmid;BBBB;Jörg Heinrich;CCCC;1940;DDDD;4;EEEE;DIE LINKE;FFFF;2005;ZZZZ;HB;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Hugo;BBBB;Markus;CCCC;1978;DDDD;51;EEEE;SPD;FFFF;2005;ZZZZ;NI;GGGG;2005;HHHH;SPD;II11;;;2005;FINEFINE
AAAA;Hultsch;BBBB;Dr. Steffen;CCCC;1944;DDDD;6;EEEE;DIE LINKE;FFFF;2005;ZZZZ;BB;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Hultsch;BBBB;Roland Wolfgang;CCCC;1955;DDDD;23;EEEE;BüSo;FFFF;2005;ZZZZ;SN;GGGG;2005;HHHH;BüSo;II11;;;2005;FINEFINE
AAAA;Humann;BBBB;Gustav;CCCC;1952;DDDD;11;EEEE;SPD;FFFF;2005;ZZZZ;TH;GGGG;2005;HHHH;SPD;II11;;;2005;FINEFINE
AAAA;Humke;BBBB;Patrick-Marc;CCCC;1969;DDDD;24;EEEE;DIE LINKE;FFFF;2005;ZZZZ;NI;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Humme;BBBB;Christel;CCCC;1949;DDDD;34;EEEE;SPD;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;SPD;IIII;140;JJJJ;2005;FINEFINE
AAAA;Hummel;BBBB;Helmut;CCCC;1941;DDDD;40;EEEE;FDP;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;FDP;II11;;;2005;FINEFINE
AAAA;Hummel;BBBB;Peter;CCCC;1965;DDDD;6;EEEE;BüSo;FFFF;2005;ZZZZ;BW;GGGG;2005;HHHH;BüSo;II11;;;2005;FINEFINE
AAAA;Hummel;BBBB;Werner Josef;CCCC;1963;DDDD;1;EEEE;FAMILIE;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;FAMILIE;II11;;;2005;FINEFINE
AAAA;Humpich;BBBB;Dr. Klaus-Dieter;CCCC;1953;DDDD;0;EEEE;FDP;FF11;;;;;;;;IIII;83;JJJJ;2005;FINEFINE
AAAA;Hundelshausen Freiherr von;BBBB;Stephan;CCCC;1971;DDDD;6;EEEE;FDP;FFFF;2005;ZZZZ;HH;GGGG;2005;HHHH;FDP;IIII;21;JJJJ;2005;FINEFINE
AAAA;Hundt;BBBB;Norbert;CCCC;1955;DDDD;15;EEEE;SPD;FFFF;2005;ZZZZ;ST;GGGG;2005;HHHH;SPD;II11;;;2005;FINEFINE
AAAA;Hurst;BBBB;Martin;CCCC;1972;DDDD;18;EEEE;CDU;FFFF;2005;ZZZZ;SH;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Hurst;BBBB;Martina;CCCC;1982;DDDD;34;EEEE;CDU;FFFF;2005;ZZZZ;BW;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Huth;BBBB;Adelheid;CCCC;1948;DDDD;5;EEEE;PBC;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;PBC;IIII;252;JJJJ;2005;FINEFINE
AAAA;Huth;BBBB;Heidrun;CCCC;1974;DDDD;6;EEEE;GRAUE;FFFF;2005;ZZZZ;BE;GGGG;2005;HHHH;GRAUE;II11;;;2005;FINEFINE
AAAA;Huthmann;BBBB;Heinz;CCCC;1948;DDDD;38;EEEE;FDP;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;FDP;II11;;;2005;FINEFINE
AAAA;Huxhold;BBBB;Erika Roswitha Gisela;CCCC;1954;DDDD;37;EEEE;SPD;FFFF;2005;ZZZZ;NI;GGGG;2005;HHHH;SPD;II11;;;2005;FINEFINE
AAAA;Ibrügger;BBBB;Lothar;CCCC;1944;DDDD;45;EEEE;SPD;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;SPD;IIII;135;JJJJ;2005;FINEFINE
AAAA;Ibraimkulova;BBBB;Elvira;CCCC;1954;DDDD;0;EEEE;OHNE PARTEI;FF11;;;;;;;;IIII;299;JJJJ;2005;FINEFINE
AAAA;Ilius;BBBB;Klaus-Dieter;CCCC;1948;DDDD;7;EEEE;MLPD;FFFF;2005;ZZZZ;BE;GGGG;2005;HHHH;MLPD;II11;;;2005;FINEFINE
AAAA;Ilse;BBBB;Jens;CCCC;1970;DDDD;45;EEEE;DIE LINKE;FFFF;2005;ZZZZ;NI;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Imhof;BBBB;Barbara;CCCC;1952;DDDD;30;EEEE;SPD;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;SPD;II11;;;2005;FINEFINE
AAAA;Iraschko-Luscher;BBBB;Stephanie;CCCC;1969;DDDD;0;EEEE;FDP;FF11;;;;;;;;IIII;22;JJJJ;2005;FINEFINE
AAAA;Irber;BBBB;Brunhilde;CCCC;1948;DDDD;12;EEEE;SPD;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;SPD;IIII;228;JJJJ;2005;FINEFINE
AAAA;Irion;BBBB;Jörg;CCCC;1939;DDDD;5;EEEE;MLPD;FFFF;2005;ZZZZ;BB;GGGG;2005;HHHH;MLPD;II11;;;2005;FINEFINE
AAAA;Irmler;BBBB;Bernd Ernst;CCCC;1941;DDDD;0;EEEE;DIE LINKE;FF11;;;;;;;;IIII;232;JJJJ;2005;FINEFINE
AAAA;Irrgang;BBBB;Eva;CCCC;1957;DDDD;60;EEEE;CDU;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Isser;BBBB;Sigrid;CCCC;1955;DDDD;27;EEEE;CDU;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Itzerott;BBBB;Susanne;CCCC;1948;DDDD;15;EEEE;FDP;FFFF;2005;ZZZZ;SH;GGGG;2005;HHHH;FDP;II11;;;2005;FINEFINE
AAAA;Ivanov;BBBB;Patricia;CCCC;1975;DDDD;4;EEEE;BüSo;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;BüSo;II11;;;2005;FINEFINE
AAAA;Iyidirli;BBBB;Ahmet;CCCC;1956;DDDD;8;EEEE;SPD;FFFF;2005;ZZZZ;BE;GGGG;2005;HHHH;SPD;IIII;84;JJJJ;2005;FINEFINE
AAAA;Jäger;BBBB;Frank;CCCC;1978;DDDD;31;EEEE;FDP;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;FDP;II11;;;2005;FINEFINE
AAAA;Jäger;BBBB;Norman;CCCC;1976;DDDD;18;EEEE;REP;FFFF;2005;ZZZZ;BW;GGGG;2005;HHHH;REP;II11;;;2005;FINEFINE
AAAA;Jäger;BBBB;Roswitha;CCCC;1955;DDDD;35;EEEE;FDP;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;FDP;IIII;239;JJJJ;2005;FINEFINE
AAAA;Jähnigen;BBBB;Eva Beate;CCCC;1965;DDDD;3;EEEE;GRÜNE;FFFF;2005;ZZZZ;SN;GGGG;2005;HHHH;GRÜNE;IIII;161;JJJJ;2005;FINEFINE
AAAA;Jäkel;BBBB;Erwin;CCCC;1954;DDDD;0;EEEE;OHNE PARTEI;FF11;;;;;;;;IIII;76;JJJJ;2005;FINEFINE
AAAA;Jösting;BBBB;Katja;CCCC;1980;DDDD;9;EEEE;DIE LINKE;FFFF;2005;ZZZZ;BE;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Jüdt;BBBB;Hans-Rainer;CCCC;1941;DDDD;10;EEEE;PBC;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;PBC;II11;;;2005;FINEFINE
AAAA;Jüngling;BBBB;Liane;CCCC;1950;DDDD;79;EEEE;CDU;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Jüptner;BBBB;Krista;CCCC;1936;DDDD;3;EEEE;GRAUE;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;GRAUE;II11;;;2005;FINEFINE
AAAA;Jürgensen;BBBB;Bettina;CCCC;1954;DDDD;7;EEEE;DIE LINKE;FFFF;2005;ZZZZ;SH;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Jürgensonn;BBBB;Harald Walter;CCCC;1955;DDDD;8;EEEE;DIE LINKE;FFFF;2005;ZZZZ;RP;GGGG;2005;HHHH;DIE LINKE;IIII;200;JJJJ;2005;FINEFINE
AAAA;Jüttner;BBBB;Dr. Egon;CCCC;1942;DDDD;8;EEEE;CDU;FFFF;2005;ZZZZ;BW;GGGG;2005;HHHH;CDU;IIII;276;JJJJ;2005;FINEFINE
AAAA;Jaffke;BBBB;Susanne;CCCC;1949;DDDD;5;EEEE;CDU;FFFF;2005;ZZZZ;MV;GGGG;2005;HHHH;CDU;IIII;18;JJJJ;2005;FINEFINE
AAAA;Jagnow;BBBB;Björn;CCCC;1972;DDDD;20;EEEE;DIE LINKE;FFFF;2005;ZZZZ;RP;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Jahn;BBBB;Jens-Eberhard;CCCC;1967;DDDD;18;EEEE;DIE LINKE;FFFF;2005;ZZZZ;SN;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Jahn;BBBB;Rosemarie;CCCC;1954;DDDD;19;EEEE;DIE LINKE;FFFF;2005;ZZZZ;SN;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Jahnen;BBBB;Luz;CCCC;1960;DDDD;0;EEEE;HP;FF11;;;;;;;;IIII;102;JJJJ;2005;FINEFINE
AAAA;Jahnke;BBBB;Reinhart;CCCC;1942;DDDD;0;EEEE;NPD;FF11;;;;;;;;IIII;11;JJJJ;2005;FINEFINE
AAAA;Jahns;BBBB;Angelika;CCCC;1955;DDDD;27;EEEE;CDU;FFFF;2005;ZZZZ;NI;GGGG;2005;HHHH;CDU;IIII;51;JJJJ;2005;FINEFINE
AAAA;Jahr;BBBB;Dr. Dieter Peter;CCCC;1959;DDDD;0;EEEE;CDU;FF11;;;;;;;;IIII;163;JJJJ;2005;FINEFINE
AAAA;Jakobi;BBBB;Ingolf;CCCC;1957;DDDD;55;EEEE;CDU;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Jakowitz;BBBB;Achim;CCCC;1986;DDDD;0;EEEE;NPD;FF11;;;;;;;;IIII;204;JJJJ;2005;FINEFINE
AAAA;Janecek;BBBB;Dieter Gerald;CCCC;1976;DDDD;16;EEEE;GRÜNE;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;GRÜNE;IIII;222;JJJJ;2005;FINEFINE
AAAA;Jani;BBBB;Günter;CCCC;1941;DDDD;11;EEEE;NPD;FFFF;2005;ZZZZ;ST;GGGG;2005;HHHH;NPD;IIII;70;JJJJ;2005;FINEFINE
AAAA;Jann;BBBB;Klaus H.;CCCC;1940;DDDD;0;EEEE;DIE LINKE;FF11;;;;;;;;IIII;106;JJJJ;2005;FINEFINE
AAAA;Jansen;BBBB;Franz;CCCC;1935;DDDD;0;EEEE;OHNE PARTEI;FF11;;;;;;;;IIII;203;JJJJ;2005;FINEFINE
AAAA;Jansen;BBBB;Helmut;CCCC;1948;DDDD;60;EEEE;FDP;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;FDP;IIII;91;JJJJ;2005;FINEFINE
AAAA;Janssen-Kucz;BBBB;Meta;CCCC;1961;DDDD;0;EEEE;GRÜNE;FF11;;;;;;;;IIII;26;JJJJ;2005;FINEFINE
AAAA;Jantz;BBBB;Astrid;CCCC;1977;DDDD;11;EEEE;CDU;FFFF;2005;ZZZZ;BE;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
