;// Name;; Vorname;;Geburtsjahr;;Platz;;Partei;;;;Land;;;;;;Wkr;;;
AAAA;Altendorf;BBBB;Sven;CCCC;1975;DDDD;0;EEEE;NPD;FF11;;;;;;;;IIII;210;JJJJ;2005;FINEFINE
AAAA;Altesleben;BBBB;Bettina;CCCC;1961;DDDD;12;EEEE;SPD;FFFF;2005;ZZZZ;SL;GGGG;2005;HHHH;SPD;II11;;;2005;FINEFINE
AAAA;Altherr;BBBB;Dr. Walter;CCCC;1946;DDDD;14;EEEE;CDU;FFFF;2005;ZZZZ;RP;GGGG;2005;HHHH;CDU;IIII;211;JJJJ;2005;FINEFINE
AAAA;Althoff;BBBB;Jörg;CCCC;1959;DDDD;14;EEEE;GRÜNE;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;GRÜNE;IIII;171;JJJJ;2005;FINEFINE
AAAA;Altmaier;BBBB;Peter;CCCC;1958;DDDD;2;EEEE;CDU;FFFF;2005;ZZZZ;SL;GGGG;2005;HHHH;CDU;IIII;297;JJJJ;2005;FINEFINE
AAAA;Altmann;BBBB;Dr. Elisabeth Hedwig;CCCC;1943;DDDD;0;EEEE;DIE LINKE;FF11;;;;;;;;IIII;247;JJJJ;2005;FINEFINE
AAAA;Altmann;BBBB;Dr. Ulf;CCCC;1968;DDDD;11;EEEE;CDU;FFFF;2005;ZZZZ;ST;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Altvater;BBBB;Friedhelm Karl Christian;CCCC;1949;DDDD;1;EEEE;Pro DM;FFFF;2005;ZZZZ;HB;GGGG;2005;HHHH;Pro DM;II11;;;2005;FINEFINE
AAAA;Altvater;BBBB;Walter;CCCC;1952;DDDD;8;EEEE;GRÜNE;FFFF;2005;ZZZZ;RP;GGGG;2005;HHHH;GRÜNE;IIII;209;JJJJ;2005;FINEFINE
AAAA;Amann;BBBB;Gregor;CCCC;1962;DDDD;20;EEEE;SPD;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;SPD;IIII;183;JJJJ;2005;FINEFINE
AAAA;Andreae;BBBB;Kerstin;CCCC;1968;DDDD;3;EEEE;GRÜNE;FFFF;2005;ZZZZ;BW;GGGG;2005;HHHH;GRÜNE;IIII;282;JJJJ;2005;FINEFINE
AAAA;Andrejewski;BBBB;Michael;CCCC;1959;DDDD;1;EEEE;NPD;FFFF;2005;ZZZZ;MV;GGGG;2005;HHHH;NPD;IIII;16;JJJJ;2005;FINEFINE
AAAA;Andres;BBBB;Gerd;CCCC;1951;DDDD;29;EEEE;SPD;FFFF;2005;ZZZZ;NI;GGGG;2005;HHHH;SPD;IIII;41;JJJJ;2005;FINEFINE
AAAA;Andresen;BBBB;Rasmus;CCCC;1986;DDDD;12;EEEE;GRÜNE;FFFF;2005;ZZZZ;SH;GGGG;2005;HHHH;GRÜNE;II11;;;2005;FINEFINE
AAAA;Andromidas;BBBB;Andrea;CCCC;1949;DDDD;11;EEEE;BüSo;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;BüSo;II11;;;2005;FINEFINE
AAAA;Annen;BBBB;Niels;CCCC;1973;DDDD;8;EEEE;SPD;FFFF;2005;ZZZZ;HH;GGGG;2005;HHHH;SPD;IIII;21;JJJJ;2005;FINEFINE
AAAA;Anton;BBBB;Hans-Günther;CCCC;1938;DDDD;4;EEEE;GRAUE;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;GRAUE;II11;;;2005;FINEFINE
AAAA;Apfel;BBBB;Holger;CCCC;1970;DDDD;1;EEEE;NPD;FFFF;2005;ZZZZ;SN;GGGG;2005;HHHH;NPD;IIII;156;JJJJ;2005;FINEFINE
AAAA;Apostel;BBBB;Erika Marie Anna;CCCC;1929;DDDD;5;EEEE;GRAUE;FFFF;2005;ZZZZ;HB;GGGG;2005;HHHH;GRAUE;II11;;;2005;FINEFINE
AAAA;Appel;BBBB;Detlef;CCCC;1955;DDDD;3;EEEE;NPD;FFFF;2005;ZZZZ;BB;GGGG;2005;HHHH;NPD;IIII;61;JJJJ;2005;FINEFINE
AAAA;Appenrodt;BBBB;Corinna;CCCC;1974;DDDD;8;EEEE;SPD;FFFF;2005;ZZZZ;TH;GGGG;2005;HHHH;SPD;II11;;;2005;FINEFINE
AAAA;Arendt;BBBB;Dirk Reinhard;CCCC;1976;DDDD;2;EEEE;NPD;FFFF;2005;ZZZZ;MV;GGGG;2005;HHHH;NPD;IIII;15;JJJJ;2005;FINEFINE
AAAA;Arens;BBBB;Helmut;CCCC;1949;DDDD;1;EEEE;PSG;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;PSG;II11;;;2005;FINEFINE
AAAA;Aretz;BBBB;Henning;CCCC;1956;DDDD;53;EEEE;CDU;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;CDU;IIII;121;JJJJ;2005;FINEFINE
AAAA;Arlt;BBBB;Gerd Eduard;CCCC;1943;DDDD;0;EEEE;FDP;FF11;;;;;;;;IIII;118;JJJJ;2005;FINEFINE
AAAA;Arndt;BBBB;Rüdiger Gerhard;CCCC;1939;DDDD;10;EEEE;DIE LINKE;FFFF;2005;ZZZZ;HB;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Arndt-Brauer;BBBB;Ingrid;CCCC;1961;DDDD;14;EEEE;SPD;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;SPD;IIII;125;JJJJ;2005;FINEFINE
AAAA;Arnecke;BBBB;Klaus;CCCC;1948;DDDD;4;EEEE;MLPD;FFFF;2005;ZZZZ;BB;GGGG;2005;HHHH;MLPD;II11;;;2005;FINEFINE
AAAA;Arnold;BBBB;Rainer;CCCC;1950;DDDD;16;EEEE;SPD;FFFF;2005;ZZZZ;BW;GGGG;2005;HHHH;SPD;IIII;263;JJJJ;2005;FINEFINE
AAAA;Arslan;BBBB;Bülent;CCCC;1975;DDDD;45;EEEE;CDU;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Arzt;BBBB;Gabriela;CCCC;1963;DDDD;8;EEEE;CDU;FFFF;2005;ZZZZ;BB;GGGG;2005;HHHH;CDU;IIII;64;JJJJ;2005;FINEFINE
AAAA;Asad;BBBB;Renate;CCCC;1946;DDDD;10;EEEE;DIE LINKE;FFFF;2005;ZZZZ;HH;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
